"Step","train/loss","golden-deluge-21 - train/loss__MIN","golden-deluge-21 - train/loss__MAX","eval/loss","golden-deluge-21 - eval/loss__MIN","golden-deluge-21 - eval/loss__MAX"
"142","0.5362","0.5362","0.5362","","",""
"143","0.4372","0.4372","0.4372","","",""
"144","0.8353","0.8353","0.8353","","",""
"145","0.8702","0.8702","0.8702","","",""
"146","0.665","0.665","0.665","","",""
"147","0.6654","0.6654","0.6654","","",""
"148","0.4474","0.4474","0.4474","","",""
"149","0.846","0.846","0.846","","",""
"150","0.4669","0.4669","0.4669","","",""
"151","0.5499","0.5499","0.5499","","",""
"152","0.7809","0.7809","0.7809","","",""
"153","","","","0.7688133120536804","0.7688133120536804","0.7688133120536804"
"154","0.5142","0.5142","0.5142","","",""
"155","0.5717","0.5717","0.5717","","",""
"156","0.7125","0.7125","0.7125","","",""
"157","0.726","0.726","0.726","","",""
"158","0.3458","0.3458","0.3458","","",""
"159","0.6734","0.6734","0.6734","","",""
"160","0.409","0.409","0.409","","",""
"161","0.5343","0.5343","0.5343","","",""
"162","0.7908","0.7908","0.7908","","",""
"163","0.483","0.483","0.483","","",""
"164","0.7331","0.7331","0.7331","","",""
"165","0.6014","0.6014","0.6014","","",""
"166","0.8067","0.8067","0.8067","","",""
"167","1.081","1.081","1.081","","",""
"168","0.9934","0.9934","0.9934","","",""
"169","0.2338","0.2338","0.2338","","",""
"170","0.9705","0.9705","0.9705","","",""
"171","0.6022","0.6022","0.6022","","",""
"172","0.3712","0.3712","0.3712","","",""
"173","0.5608","0.5608","0.5608","","",""
"174","0.356","0.356","0.356","","",""
"175","0.8048","0.8048","0.8048","","",""
"176","0.468","0.468","0.468","","",""
"177","0.5035","0.5035","0.5035","","",""
"178","0.6557","0.6557","0.6557","","",""
"179","0.9703","0.9703","0.9703","","",""
"180","0.631","0.631","0.631","","",""
"181","0.5584","0.5584","0.5584","","",""
"182","0.6945","0.6945","0.6945","","",""
"183","1.3407","1.3407","1.3407","","",""
"184","0.5326","0.5326","0.5326","","",""
"185","0.66","0.66","0.66","","",""
"186","0.4611","0.4611","0.4611","","",""
"187","1.316","1.316","1.316","","",""
"188","1.0648","1.0648","1.0648","","",""
"189","0.3051","0.3051","0.3051","","",""
"190","0.3816","0.3816","0.3816","","",""
"191","0.4159","0.4159","0.4159","","",""
"192","1.2667","1.2667","1.2667","","",""
"193","1.0923","1.0923","1.0923","","",""
"194","0.7687","0.7687","0.7687","","",""
"195","0.2629","0.2629","0.2629","","",""
"196","0.4781","0.4781","0.4781","","",""
"197","0.6074","0.6074","0.6074","","",""
"198","0.3825","0.3825","0.3825","","",""
"199","0.7925","0.7925","0.7925","","",""
"200","0.3399","0.3399","0.3399","","",""
"201","0.3235","0.3235","0.3235","","",""
"202","0.9519","0.9519","0.9519","","",""
"203","0.278","0.278","0.278","","",""
"204","","","","0.7365427613258362","0.7365427613258362","0.7365427613258362"
"205","0.5534","0.5534","0.5534","","",""
"206","0.59","0.59","0.59","","",""
"207","0.9691","0.9691","0.9691","","",""
"208","0.8462","0.8462","0.8462","","",""
"209","0.5319","0.5319","0.5319","","",""
"210","0.6637","0.6637","0.6637","","",""
"211","0.7701","0.7701","0.7701","","",""
"212","0.297","0.297","0.297","","",""
"213","1.0803","1.0803","1.0803","","",""
"214","0.3725","0.3725","0.3725","","",""
"215","0.6355","0.6355","0.6355","","",""
"216","0.5575","0.5575","0.5575","","",""
"217","0.5079","0.5079","0.5079","","",""
"218","0.3971","0.3971","0.3971","","",""
"219","0.9668","0.9668","0.9668","","",""
"220","1.0326","1.0326","1.0326","","",""
"221","0.1875","0.1875","0.1875","","",""
"223","","","","0.7362030148506165","0.7362030148506165","0.7362030148506165"
