"Step","train/loss","good-gorge-19 - train/loss__MIN","good-gorge-19 - train/loss__MAX","eval/loss","good-gorge-19 - eval/loss__MIN","good-gorge-19 - eval/loss__MAX"
"143","1.0823","1.0823","1.0823","","",""
"144","1.6452","1.6452","1.6452","","",""
"145","1.7586","1.7586","1.7586","","",""
"146","1.3854","1.3854","1.3854","","",""
"147","1.8678","1.8678","1.8678","","",""
"148","1.4401","1.4401","1.4401","","",""
"149","1.911","1.911","1.911","","",""
"150","1.404","1.404","1.404","","",""
"151","2.1678","2.1678","2.1678","","",""
"152","1.2458","1.2458","1.2458","","",""
"153","2.051","2.051","2.051","","",""
"154","0.8262","0.8262","0.8262","","",""
"155","1.5999","1.5999","1.5999","","",""
"156","1.2227","1.2227","1.2227","","",""
"157","1.5209","1.5209","1.5209","","",""
"158","1.918","1.918","1.918","","",""
"159","1.6297","1.6297","1.6297","","",""
"160","1.9241","1.9241","1.9241","","",""
"161","0.9699","0.9699","0.9699","","",""
"162","1.6427","1.6427","1.6427","","",""
"163","1.5028","1.5028","1.5028","","",""
"164","1.6163","1.6163","1.6163","","",""
"165","1.8112","1.8112","1.8112","","",""
"166","2.195","2.195","2.195","","",""
"167","0.7984","0.7984","0.7984","","",""
"168","1.9702","1.9702","1.9702","","",""
"169","1.7731","1.7731","1.7731","","",""
"170","1.4172","1.4172","1.4172","","",""
"171","1.9445","1.9445","1.9445","","",""
"172","1.6826","1.6826","1.6826","","",""
"173","1.691","1.691","1.691","","",""
"174","1.7311","1.7311","1.7311","","",""
"175","1.8085","1.8085","1.8085","","",""
"176","1.6964","1.6964","1.6964","","",""
"177","1.1929","1.1929","1.1929","","",""
"178","1.5132","1.5132","1.5132","","",""
"179","2.1468","2.1468","2.1468","","",""
"180","1.6711","1.6711","1.6711","","",""
"181","1.7305","1.7305","1.7305","","",""
"182","1.9643","1.9643","1.9643","","",""
"183","1.9251","1.9251","1.9251","","",""
"184","1.0072","1.0072","1.0072","","",""
"185","1.7853","1.7853","1.7853","","",""
"186","0.7253","0.7253","0.7253","","",""
"187","1.8075","1.8075","1.8075","","",""
"188","1.8001","1.8001","1.8001","","",""
"189","1.7989","1.7989","1.7989","","",""
"190","1.6157","1.6157","1.6157","","",""
"191","1.5469","1.5469","1.5469","","",""
"192","1.5623","1.5623","1.5623","","",""
"193","1.9561","1.9561","1.9561","","",""
"194","2.0271","2.0271","2.0271","","",""
"195","1.6538","1.6538","1.6538","","",""
"196","1.8312","1.8312","1.8312","","",""
"197","1.7753","1.7753","1.7753","","",""
"198","1.8676","1.8676","1.8676","","",""
"199","1.6097","1.6097","1.6097","","",""
"200","1.3087","1.3087","1.3087","","",""
"201","","","","1.7548612356185913","1.7548612356185913","1.7548612356185913"
"202","2.1636","2.1636","2.1636","","",""
"203","1.4551","1.4551","1.4551","","",""
"204","1.4571","1.4571","1.4571","","",""
"205","1.8285","1.8285","1.8285","","",""
"206","1.4879","1.4879","1.4879","","",""
"207","1.0735","1.0735","1.0735","","",""
"208","1.8009","1.8009","1.8009","","",""
"209","1.5546","1.5546","1.5546","","",""
"210","1.411","1.411","1.411","","",""
"211","1.6326","1.6326","1.6326","","",""
"212","1.6253","1.6253","1.6253","","",""
"213","1.2737","1.2737","1.2737","","",""
"214","2.0718","2.0718","2.0718","","",""
"215","1.5945","1.5945","1.5945","","",""
"216","1.8234","1.8234","1.8234","","",""
"217","1.113","1.113","1.113","","",""
"218","1.404","1.404","1.404","","",""
"219","1.8868","1.8868","1.8868","","",""
"220","1.866","1.866","1.866","","",""
"221","1.5161","1.5161","1.5161","","",""
"222","2.1169","2.1169","2.1169","","",""
"223","1.0666","1.0666","1.0666","","",""
"224","1.7875","1.7875","1.7875","","",""
"225","1.3971","1.3971","1.3971","","",""
"226","0.6804","0.6804","0.6804","","",""
"227","2.0351","2.0351","2.0351","","",""
"228","1.5876","1.5876","1.5876","","",""
"229","1.8081","1.8081","1.8081","","",""
"230","1.6942","1.6942","1.6942","","",""
"231","1.7267","1.7267","1.7267","","",""
"232","1.7608","1.7608","1.7608","","",""
"233","1.7933","1.7933","1.7933","","",""
"234","1.4029","1.4029","1.4029","","",""
"235","1.6129","1.6129","1.6129","","",""
"236","1.4574","1.4574","1.4574","","",""
"237","1.5052","1.5052","1.5052","","",""
"238","1.6917","1.6917","1.6917","","",""
"239","2.0762","2.0762","2.0762","","",""
"240","1.3944","1.3944","1.3944","","",""
"241","1.4007","1.4007","1.4007","","",""
"242","1.9185","1.9185","1.9185","","",""
"243","1.4805","1.4805","1.4805","","",""
"244","1.7217","1.7217","1.7217","","",""
